"","order","tmp"
"1","Acipenseriformes",60
"2","Albuliformes",5
"3","Amiiformes",4
"4","Anguilliformes",52
"5","Atheriniformes",68
"6","Aulopiformes",105
"7","Batrachoidiformes",8
"8","Beloniformes",41
"9","Beryciformes",51
"10","Cetomimiformes",2
"11","Characiformes",103
"12","Clupeiformes",1005
"13","Cypriniformes",602
"14","Cyprinodontiformes",42
"15","Elopiformes",6
"16","Esociformes",102
"17","Gadiformes",746
"18","Gasterosteiformes",15
"19","Gobiesociformes",2
"20","Gonorynchiformes",4
"21","Gymnotiformes",2
"22","Lampriformes",1
"23","Lepisosteiformes",6
"24","Lophiiformes",35
"25","Mugiliformes",151
"26","Myctophiformes",33
"27","Ophidiiformes",22
"28","Osmeriformes",84
"29","Osteoglossiformes",34
"30","Perciformes",4313
"31","Percopsiformes",10
"32","Pleuronectiformes",573
"33","Polymixiiformes",3
"34","Polypteriformes",1
"35","Saccopharyngiformes",1
"36","Salmoniformes",306
"37","Scorpaeniformes",470
"38","Siluriformes",212
"39","Stephanoberyciformes",2
"40","Stomiiformes",15
"41","Synbranchiformes",14
"42","Syngnathiformes",25
"43","Tetraodontiformes",37
"44","Zeiformes",17
